customer_id,mean_purchase_cycle,median_purchase_cycle
755,30.0,29.0
762,75.0,75.0
764,201.0,201.0
766,6.0,6.0
767,574.0,574.0
769,23.0,22.0
770,119.0,119.0
771,16.0,16.0
778,64.0,57.0
784,232.0,232.0
787,31.0,31.0
789,24.0,24.0
790,122.0,121.5
791,18.0,17.0
794,35.0,34.0
796,500.0,500.0
797,137.0,137.0
799,618.0,618.0
800,472.0,472.0
801,56.0,42.0
802,40.0,40.0
803,3.0,3.0
806,391.0,391.0
811,200.0,200.0
812,92.0,92.0
813,6.0,6.0
817,110.0,110.0
819,3.0,3.0
821,176.0,141.0
827,4.0,4.0
828,28.0,25.0
829,433.0,433.0
831,9.0,9.0
832,115.0,115.0
833,18.0,18.0
835,125.0,125.0
836,60.0,60.0
837,69.0,63.0
840,134.0,134.0
845,14.0,13.0
848,875.0,875.0
858,415.0,415.0
861,14.0,14.0
864,137.0,137.0
865,13.0,13.0
869,52.0,43.0
870,127.0,127.0
875,43.0,43.0
876,16.0,16.0
879,279.0,279.0
880,324.0,259.0
884,50.0,49.0
889,122.0,121.5
891,329.0,329.0
897,44.0,44.0
898,11.0,11.0
901,231.0,231.0
902,602.0,601.5
906,13.0,13.0
907,94.0,94.0
908,246.0,246.0
909,1054.0,1054.0
912,42.0,39.0
914,470.0,470.0
916,325.0,244.0
925,232.0,232.0
928,87.0,87.0
930,268.0,268.0
933,740.0,740.0
936,6.0,6.0
943,109.0,94.0
945,35.0,34.0
947,25.0,25.0
949,720.0,720.5
950,8.0,8.0
951,198.0,198.0
956,6.0,6.0
957,142.0,142.0
961,192.0,192.0
963,30.0,30.0
966,260.0,260.0
968,15.0,14.0
970,27.0,27.0
971,873.0,873.0
972,49.0,49.0
974,114.0,108.0
975,236.0,236.0
977,217.0,163.0
978,15.0,14.0
980,0.0,0.0
982,12.0,10.0
983,34.0,34.0
984,111.0,99.0
985,29.0,28.0
986,258.0,258.0
987,134.0,134.0
988,126.0,126.0
989,15.0,15.0
990,712.0,711.5
993,5.0,5.0
997,25.0,25.0
998,501.0,501.0
1002,249.0,249.0
1003,276.0,276.0
1004,769.0,769.0
1005,550.0,550.0
1010,152.0,152.0
1013,230.0,230.0
1017,187.0,156.0
1019,36.0,31.0
1020,240.0,240.0
1021,512.0,512.0
1023,262.0,262.0
1024,86.0,72.0
1029,83.0,83.0
1030,14.0,12.0
1031,17.0,15.0
1032,65.0,65.0
1033,1046.0,1046.0
1041,172.0,172.0
1042,37.0,37.0
1044,120.0,103.0
1046,133.0,133.0
1047,192.0,192.0
1051,184.0,184.0
1052,325.0,325.0
1054,54.0,54.0
1057,73.0,84.0
1060,126.0,126.0
1068,168.0,126.0
1071,35.0,32.0
1073,52.0,52.0
1074,648.0,648.0
1076,16.0,14.0
1078,34.0,31.0
1079,24.0,24.5
1081,420.0,420.0
1082,574.0,574.0
1085,31.0,31.0
1088,37.0,37.0
1091,180.0,180.0
1092,718.0,718.0
1095,23.0,23.0
1097,93.0,93.0
1098,1008.0,1008.0
1101,158.0,158.0
1103,61.0,61.0
1107,40.0,35.0
1109,32.0,27.0
1111,115.0,115.0
1112,15.0,15.0
1113,185.0,185.0
1114,5.0,5.0
1116,110.0,110.0
1119,22.0,21.0
1120,64.0,64.0
1125,399.0,399.0
1126,58.0,58.0
1127,50.0,50.0
1128,54.0,54.0
1130,189.0,189.0
1138,111.0,111.0
1139,361.0,361.0
1142,331.0,331.0
1144,287.0,287.0
1145,306.0,306.0
1147,19.0,19.0
1152,909.0,909.0
1153,66.0,66.0
1154,122.0,122.0
1156,92.0,92.0
1158,194.0,194.0
1159,85.0,73.0
1162,191.0,191.0
1163,93.0,93.0
1168,1096.0,1096.0
1171,5.0,4.0
1174,179.0,179.0
1176,33.0,33.0
1179,228.0,228.0
1186,41.0,41.0
1191,441.0,441.0
1192,37.0,37.0
1193,381.0,286.0
1200,342.0,342.0
1202,52.0,52.0
1208,13.0,13.0
1210,19.0,18.0
1212,317.0,317.0
1213,103.0,103.0
1217,8.0,7.0
1218,207.0,207.0
1219,7.0,7.0
1226,259.0,185.0
1228,99.0,99.0
1230,149.0,149.0
1233,25.0,25.0
1234,82.0,82.0
1236,91.0,91.0
1237,152.0,152.0
1238,21.0,21.0
1240,1063.0,1063.0
1243,176.0,176.0
1244,25.0,25.0
1246,13.0,12.0
1250,178.0,177.5
1253,19.0,19.0
1254,111.0,111.0
1255,60.0,60.0
1256,203.0,203.0
1257,217.0,217.0
1258,186.0,186.0
1260,21.0,19.0
1261,50.0,50.0
1264,94.0,94.0
1267,42.0,42.0
1271,977.0,977.0
1273,75.0,64.0
1278,70.0,70.0
1280,32.0,32.0
1281,47.0,46.0
1283,19.0,18.0
1284,2.0,2.0
1286,39.0,39.0
1290,68.0,64.0
1291,120.0,120.0
1294,143.0,143.0
1297,320.0,320.0
1298,14.0,12.0
1299,380.0,380.0
1304,9.0,9.0
1305,460.0,460.0
1307,30.0,28.0
1308,311.0,311.0
1309,14.0,14.0
1310,61.0,61.0
1311,700.0,700.0
1313,146.0,146.0
1315,120.0,120.0
1316,66.0,66.0
1321,34.0,34.0
1322,5.0,5.0
1326,221.0,221.0
1331,94.0,75.0
1335,412.0,412.5
1338,116.0,116.0
1340,378.0,378.0
1345,186.0,186.0
1347,254.0,254.0
1348,31.0,26.0
1351,46.0,46.0
1352,239.0,205.0
1353,210.0,209.5
1355,73.0,73.0
1368,100.0,100.0
1369,511.0,511.0
1370,1018.0,1018.0
1372,258.0,258.0
1373,157.0,157.0
1377,106.0,106.0
1382,24.0,24.0
1385,21.0,21.0
1391,172.0,172.0
1394,40.0,39.0
1395,67.0,58.0
1397,224.0,224.0
1398,361.0,361.0
1399,158.0,158.0
1401,10.0,10.0
1402,109.0,109.0
1406,63.0,53.0
1408,321.0,321.0
1411,336.0,336.0
1412,169.0,169.0
1413,30.0,30.0
1414,45.0,42.0
1415,55.0,48.0
1416,183.0,183.0
1419,102.0,102.0
1420,36.0,36.0
1421,15.0,15.0
1422,72.0,72.0
1423,25.0,25.0
1426,122.0,122.0
1429,360.0,360.0
1430,157.0,137.0
1431,89.0,89.0
1434,8.0,8.0
1437,163.0,140.0
1439,6.0,6.0
1442,77.0,71.0
1444,165.0,165.0
1446,173.0,173.0
1448,116.0,116.0
1449,26.0,21.0
1451,202.0,202.0
1453,47.0,47.0
1455,192.0,192.0
1456,5.0,4.0
1457,332.0,332.0
1459,16.0,16.0
1462,31.0,31.0
1467,15.0,15.0
1468,24.0,24.0
1469,94.0,94.0
1472,245.0,245.0
1477,175.0,127.5
1478,614.0,614.0
1481,309.0,309.0
1482,121.0,121.0
1484,605.0,605.0
1488,35.0,35.0
1491,3.0,3.0
1494,25.0,23.0
1495,24.0,24.0
1497,98.0,98.0
1499,7.0,7.0
1504,185.0,185.0
1508,377.0,283.0
1513,22.0,21.0
1518,258.0,258.0
1519,55.0,55.0
1522,8.0,8.0
1526,141.0,130.0
1527,45.0,45.0
1530,205.0,205.0
1542,168.0,168.0
1543,20.0,20.0
1544,73.0,60.0
1545,4.0,4.0
1547,77.0,77.0
1548,18.0,17.0
1549,245.0,245.0
1553,14.0,14.0
1555,54.0,50.0
1557,337.0,337.0
1558,38.0,38.0
1560,114.0,91.0
1561,357.0,357.0
1563,126.0,126.0
1564,16.0,16.0
1565,120.0,120.0
1572,27.0,26.0
1573,37.0,37.0
1576,65.0,65.0
1581,39.0,39.0
1583,9.0,9.0
1584,19.0,19.0
1585,19.0,19.0
1586,152.0,122.0
1588,37.0,37.0
1589,8.0,8.0
1593,29.0,29.0
1600,602.0,601.5
1608,54.0,44.0
1621,63.0,63.0
1622,68.0,68.0
1624,378.0,378.0
1629,36.0,36.0
1634,384.0,384.5
1635,12.0,12.0
1636,1.0,1.0
1638,16.0,12.0
1640,119.0,119.0
1642,254.0,222.0
1644,146.0,146.0
1648,127.0,118.0
1655,125.0,125.0
1657,1001.0,1001.0
1658,18.0,18.0
1660,130.0,130.0
1661,389.0,389.0
1670,29.0,24.0
1672,65.0,57.0
1673,77.0,77.0
1674,7.0,7.0
1675,301.0,301.0
1677,84.0,84.0
1679,26.0,26.0
1681,26.0,22.0
1683,75.0,75.0
1684,86.0,86.0
1685,22.0,13.0
1686,105.0,105.0
1695,20.0,20.0
1698,150.0,150.0
1703,26.0,23.0
1707,22.0,22.0
1708,69.0,63.0
1710,111.0,111.0
1711,368.0,368.0
1714,22.0,21.0
1718,550.0,549.5
1724,98.0,98.0
1725,85.0,85.0
1731,330.0,329.5
1733,505.0,379.0
1736,239.0,239.0
1739,326.0,326.0
1742,135.0,135.0
1743,191.0,172.0
1746,10.0,10.0
1747,337.0,253.0
1749,57.0,55.0
1751,138.0,138.0
1755,14.0,14.0
1760,23.0,23.0
1762,37.0,37.0
1764,54.0,54.0
1765,11.0,11.0
1766,567.0,567.0
1767,42.0,42.0
1768,50.0,39.0
1769,84.0,84.0
1770,49.0,45.0
1777,23.0,20.0
1778,164.0,164.0
1779,53.0,53.0
1781,86.0,78.0
1785,638.0,638.5
1788,550.0,550.0
1790,40.0,36.0
1792,171.0,171.0
1794,348.0,348.0
1796,134.0,134.0
1797,25.0,25.0
1801,296.0,296.5
1804,76.0,76.0
1805,43.0,43.0
1806,312.0,312.0
1810,39.0,39.0
1812,17.0,15.0
1813,19.0,18.0
1816,65.0,65.0
1817,304.0,304.0
1819,58.0,58.0
1820,145.0,145.0
1823,439.0,439.0
1829,25.0,25.0
1830,6.0,6.0
1832,294.0,294.0
1834,19.0,19.0
1835,490.0,490.0
1837,1050.0,1050.0
1838,224.0,224.0
1839,193.0,193.0
1840,223.0,223.0
1843,65.0,65.0
1844,187.0,146.0
1845,212.0,212.0
1848,39.0,38.0
1849,861.0,861.0
1850,81.0,81.0
1853,12.0,12.0
1854,17.0,17.0
1857,34.0,31.0
1858,158.0,158.0
1861,171.0,137.0
1865,99.0,99.0
1867,37.0,37.0
1873,73.0,73.0
1877,126.0,108.0
1880,45.0,42.0
1886,45.0,45.0
1888,311.0,311.0
1890,34.0,32.0
1892,104.0,104.0
1895,136.0,136.0
1897,31.0,23.0
1898,30.0,30.0
1900,104.0,104.5
1901,38.0,38.0
1904,42.0,34.0
1908,22.0,22.0
1909,4.0,4.0
1910,35.0,35.0
1912,54.0,54.0
1916,536.0,536.0
1918,60.0,60.0
1919,377.0,377.0
1921,180.0,160.0
1923,682.0,682.0
1925,70.0,70.0
1927,413.0,413.0
1928,458.0,458.0
1930,22.0,20.0
1931,24.0,24.0
1932,55.0,55.0
1933,538.0,538.0
1937,39.0,36.0
1939,131.0,131.0
1940,104.0,104.0
1943,90.0,90.0
1944,30.0,30.0
1948,105.0,105.0
1949,249.0,249.0
1951,36.0,33.0
1952,228.0,228.0
1957,20.0,20.0
1959,122.0,122.0
1960,7.0,7.0
1961,9.0,9.0
1963,13.0,13.0
1964,92.0,92.0
1966,42.0,34.0
1968,49.0,49.0
1970,139.0,139.0
1971,20.0,20.0
1972,38.0,36.0
1973,21.0,19.0
1974,1074.0,1074.0
1976,46.0,45.0
1978,219.0,219.0
1979,91.0,91.0
1980,98.0,98.0
1981,246.0,246.0
1983,75.0,75.0
1985,228.0,228.0
1986,99.0,99.0
1989,152.0,152.0
1992,90.0,90.5
1996,22.0,20.0
1997,22.0,22.0
2001,101.0,101.0
2002,60.0,56.0
2003,133.0,133.0
2006,196.0,196.0
2009,34.0,34.0
2016,36.0,26.0
2019,35.0,35.0
2021,18.0,17.0
2022,75.0,75.0
2029,231.0,231.0
2030,238.0,238.0
2031,71.0,71.0
2032,44.0,44.0
2039,19.0,19.0
2040,57.0,57.0
2041,772.0,772.0
2042,10.0,10.0
2047,49.0,46.0
2048,54.0,54.0
2052,114.0,107.0
2053,27.0,27.0
2054,86.0,86.0
2056,237.0,237.0
2058,7.0,7.0
2059,61.0,61.0
2060,414.0,414.0
2061,208.0,208.0
2062,189.0,126.0
2064,80.0,80.0
2066,469.0,469.0
2069,47.0,47.0
2070,138.0,138.0
2073,108.0,108.0
2078,6.0,6.0
2081,29.0,28.0
2082,12.0,11.0
2083,110.0,110.0
2086,316.0,316.0
2087,190.0,152.0
2089,15.0,15.0
2092,72.0,60.0
2093,4.0,4.0
2094,876.0,876.0
2095,3.0,3.0
2097,24.0,24.0
2099,357.0,357.0
2101,27.0,27.0
2103,31.0,30.5
2105,41.0,41.0
2108,65.0,54.0
2109,60.0,60.0
2113,7.0,7.0
2114,30.0,27.0
2116,63.0,63.0
2117,222.0,222.0
2123,318.0,318.0
2125,106.0,106.0
2127,20.0,20.0
2131,30.0,29.0
2133,210.0,210.0
2134,114.0,114.0
2136,2.0,2.0
2142,41.0,41.0
2144,27.0,27.0
2145,72.0,60.0
2148,132.0,132.0
2150,2.0,2.0
2151,426.0,426.5
2154,39.0,39.0
2156,19.0,16.0
2159,215.0,215.0
2161,532.0,532.0
2163,146.0,146.0
2164,32.0,31.5
2171,259.0,259.0
2173,42.0,42.0
2175,227.0,227.0
2177,126.0,86.0
2178,6.0,6.0
2181,740.0,740.0
2182,12.0,10.0
2187,228.0,228.0
2188,33.0,33.0
2196,98.0,98.0
2197,61.0,61.0
2198,6.0,6.0
2199,97.0,97.0
2201,67.0,58.0
2202,326.0,326.0
2204,103.0,103.0
2208,37.0,37.0
2209,15.0,15.0
2211,298.0,298.0
2214,87.0,87.0
2216,487.0,487.0
2218,199.0,199.0
2220,20.0,20.0
2221,57.0,51.0
2223,32.0,32.0
2229,228.0,228.0
2232,60.0,58.0
2235,449.0,449.0
2241,15.0,15.0
2242,222.0,222.0
2246,88.0,88.0
2250,5.0,5.0
2251,50.0,48.0
2254,32.0,30.0
2258,285.0,285.0
2259,30.0,30.0
2262,87.0,74.0
2263,26.0,26.0
2266,55.0,50.0
2267,18.0,18.0
2268,33.0,33.0
2272,29.0,28.0
2276,632.0,632.0
2278,19.0,19.0
2280,17.0,17.0
2282,118.0,118.0
2283,55.0,55.0
2284,117.0,91.0
2290,98.0,84.0
2292,57.0,57.0
2293,192.0,192.0
2297,53.0,53.0
2298,475.0,475.0
2299,66.0,66.0
2304,17.0,17.0
2306,18.0,18.0
2307,294.0,294.0
2308,1.0,1.0
2310,16.0,16.0
2312,19.0,18.0
2314,6.0,6.0
2316,98.0,98.0
2317,18.0,18.0
2322,15.0,15.0
2325,171.0,171.0
2327,101.0,81.0
2328,14.0,14.0
2330,28.0,28.0
2333,129.0,129.0
2335,128.0,117.0
2342,27.0,26.0
2343,46.0,46.0
2344,60.0,60.0
2346,116.0,116.0
2351,107.0,101.0
2353,9.0,9.0
2354,417.0,417.0
2355,18.0,17.0
2361,15.0,11.0
2364,16.0,16.0
2368,393.0,393.0
2370,68.0,68.0
2372,49.0,49.0
2373,11.0,11.0
2374,46.0,44.0
2375,774.0,774.0
2376,434.0,434.0
2386,110.0,110.0
2388,15.0,15.0
2391,17.0,17.0
2392,158.0,158.0
2393,116.0,116.0
2394,148.0,148.0
2399,97.0,88.0
2400,1.0,1.0
2403,13.0,13.0
2404,0.0,0.0
2405,17.0,16.0
2407,14.0,14.0
2409,11.0,11.0
2413,2.0,2.0
2414,48.0,48.0
2415,15.0,15.0
2417,164.0,164.0
2420,56.0,56.0
2421,416.0,416.0
2423,36.0,34.0
2425,56.0,50.0
2428,225.0,180.0
2429,14.0,13.0
2430,111.0,111.0
2431,196.0,196.0
2434,952.0,952.0
2436,483.0,483.0
2437,8.0,8.0
2440,415.0,415.0
2441,124.0,124.0
2445,68.0,68.0
2447,31.0,31.0
2448,188.0,187.5
2449,85.0,85.0
